movieId,title,genres
2706,American Pie (1999),Comedy|Romance
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi
2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery
2791,Airplane! (1980),Comedy
2797,Big (1988),Comedy|Drama|Fantasy|Romance
2804,"Christmas Story, A (1983)",Children|Comedy
2858,American Beauty (1999),Drama|Romance
2916,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller
2918,Ferris Bueller's Day Off (1986),Comedy
2959,Fight Club (1999),Action|Crime|Drama|Thriller
2987,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
2997,Being John Malkovich (1999),Comedy|Drama|Fantasy
3114,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy
3175,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi
3418,Thelma & Louise (1991),Adventure|Crime|Drama
3471,Close Encounters of the Third Kind (1977),Adventure|Drama|Sci-Fi
3481,High Fidelity (2000),Comedy|Drama|Romance
3578,Gladiator (2000),Action|Adventure|Drama
3793,X-Men (2000),Action|Adventure|Sci-Fi
